"","x"
"1","acafly"
"2","aldfly"
"3","amekes"
"4","ameoys"
"5","amered"
"6","amerob"
"7","amewoo"
"8","amtspa"
"9","arcter"
"10","baispa"
"11","balori"
"12","barswa"
"13","bawwar"
"14","bicthr"
"15","bkbcuc"
"16","bkbwar"
"17","bkbwoo"
"18","bkcchi"
"19","bkhgro"
"20","bkpwar"
"21","blkski"
"22","blkter"
"23","blujay"
"24","bnhcow"
"25","boboli"
"26","brespa"
"27","brnthr"
"28","btbwar"
"29","cangoo"
"30","canwar"
"31","cedwax"
"32","cerwar"
"33","chclon"
"34","chiswi"
"35","chswar"
"36","clarai11"
"37","cliswa"
"38","comgal1"
"39","comnig"
"40","comter"
"41","comyel"
"42","daejun"
"43","dunlin"
"44","easmea"
"45","eastow"
"46","easwpw1"
"47","evegro"
"48","fiespa"
"49","gbbgul"
"50","gchwar"
"51","gocspa"
"52","gowwar"
"53","graspa"
"54","greyel"
"55","herthr"
"56","horlar"
"57","hudgod"
"58","indbun"
"59","kenwar"
"60","killde"
"61","kinrai4"
"62","lazbun"
"63","leabit"
"64","leafly"
"65","leasan"
"66","leater1"
"67","lesyel"
"68","linspa"
"69","lobdow"
"70","logshr"
"71","louwat"
"72","magwar"
"73","margod"
"74","mcclon"
"75","merlin"
"76","mouwar"
"77","naswar"
"78","norpar"
"79","norwat"
"80","nstspa"
"81","nswowl"
"82","olsfly"
"83","orcwar"
"84","ovenbi1"
"85","paibun"
"86","palwar"
"87","pecsan"
"88","perfal"
"89","phaino"
"90","pinsis"
"91","pipplo"
"92","prawar"
"93","prowar"
"94","purfin"
"95","purmar"
"96","redkno"
"97","reevir1"
"98","rewbla"
"99","rosspo1"
"100","rudtur"
"101","rusbla"
"102","sagthr"
"103","sander"
"104","savspa"
"105","scatan"
"106","seaspa"
"107","semplo"
"108","semsan"
"109","shbdow"
"110","snobun"
"111","snoplo5"
"112","sonspa"
"113","sora"
"114","spotow"
"115","sprpip"
"116","sstspa"
"117","stisan"
"118","sumtan"
"119","swahaw"
"120","swaspa"
"121","swawar"
"122","tenwar"
"123","treswa"
"124","tribla"
"125","turvul"
"126","varthr"
"127","veery"
"128","vesspa"
"129","virrai"
"130","wesmea"
"131","wessan"
"132","westan"
"133","whcspa"
"134","whimbr"
"135","whtspa"
"136","wilfly"
"137","willet1"
"138","wilplo"
"139","wooduc"
"140","woothr"
"141","yebcha"
"142","yebcuc"
"143","yebsap"
"144","zothaw"
"145","abetow"
"146","acowoo"
"147","adewar1"
"148","allhum"
"149","altori"
"150","ambduc"
"151","ameavo"
"152","amebit"
"153","amecro"
"154","amedip"
"155","amegfi"
"156","amepip"
"157","amewig"
"158","amgplo"
"159","amwpel"
"160","anhing"
"161","annhum"
"162","apapan"
"163","aplfal"
"164","arcwar1"
"165","astfly"
"166","attwoo1"
"167","audori"
"168","babwar"
